;projectID;topic;title
154;190120340;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-01;Strategic Digital and Health Technologies
155;190132011;HORIZON-EIC-2022-ACCELERATOROPEN-01;EIC Accelerator Open
156;190150864;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-02;Green Deal innovations for the Economic Recovery
157;190129097;HORIZON-EIC-2022-ACCELERATOROPEN-01;EIC Accelerator Open
158;101058039;HORIZON-EIC-2021-TRANSITIONOPEN-01;EIC Transition Open 2021
159;190145869;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
160;101073762;HORIZON-EIC-2021-STARTUPEU-01-01;Enhancing synergies between the EIC and Startup Europe
161;101070976;HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-04;Novel routes to green hydrogen production
162;190120429;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
163;101071054;HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-03;Emerging Technologies in Cell and Gene therapy
164;101070917;HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-02;Tools to measure and stimulate activity in Brain Tissue
165;101070856;HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-04;Novel routes to green hydrogen production
166;101099230;HORIZON-EIC-2022-TRANSITIONOPEN-01;EIC Transition Open 2022
167;190159768;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
168;190164416;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-01;Strategic Digital and Health Technologies
169;190131793;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
170;190149727;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-02;Green Deal innovations for the Economic Recovery
171;190121231;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
172;101071015;HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-02;Tools to measure and stimulate activity in Brain Tissue
173;190181669;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
174;190106381;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
175;101073781;HORIZON-EIC-2021-STARTUPEU-01-01;Enhancing synergies between the EIC and Startup Europe
176;190108904;HORIZON-EIC-2022-ACCELERATORCHALLENGES-02;EIC Accelerator Challenge: Technologies for ‘Fit for 55’
177;190144130;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-02;Green Deal innovations for the Economic Recovery
178;190153654;HORIZON-EIC-2022-ACCELERATOROPEN-01;EIC Accelerator Open
179;190138361;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-02;Green Deal innovations for the Economic Recovery
180;101099476;HORIZON-EIC-2022-TRANSITIONOPEN-01;EIC Transition Open 2022
181;101058079;HORIZON-EIC-2021-TRANSITIONOPEN-01;EIC Transition Open 2021
182;190178595;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
183;101099381;HORIZON-EIC-2022-TRANSITIONOPEN-01;EIC Transition Open 2022
184;190194936;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-01;Strategic Digital and Health Technologies
185;101046909;HORIZON-EIC-2021-PATHFINDEROPEN-01-01;EIC Pathfinder Open 2021
186;190112192;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
187;190106553;HORIZON-EIC-2022-ACCELERATOROPEN-01;EIC Accelerator Open
188;101046630;HORIZON-EIC-2021-PATHFINDEROPEN-01-01;EIC Pathfinder Open 2021
189;190155287;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-02;Green Deal innovations for the Economic Recovery
190;101057934;HORIZON-EIC-2021-TRANSITIONOPEN-01;EIC Transition Open 2021
191;101070865;HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-02;Tools to measure and stimulate activity in Brain Tissue
192;190137729;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
193;190178589;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
194;190185259;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-02;Green Deal innovations for the Economic Recovery
195;101071041;HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-03;Emerging Technologies in Cell and Gene therapy
196;190175560;HORIZON-EIC-2022-ACCELERATOROPEN-01;EIC Accelerator Open
197;190101940;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-01;Strategic Digital and Health Technologies
198;190110216;HORIZON-EIC-2022-ACCELERATOROPEN-01;EIC Accelerator Open
199;190157517;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
200;101057616;HORIZON-EIC-2021-TRANSITIONCHALLENGES-01-02;Energy Harvesting and Storage Technologies
201;190153016;HORIZON-EIC-2022-ACCELERATOROPEN-01;EIC Accelerator Open
