;projectID;topic;title
30700;836353;MSCA-IF-2018;Individual Fellowships
30701;967357;EIC-SMEInst-2018-2020;SME instrument
30702;101028014;MSCA-IF-2020;Individual Fellowships
30703;899259;ERC-2019-POC;ERC Proof of Concept Grant
30704;750766;MSCA-IF-2016;Individual Fellowships
30705;885069;ERC-2019-ADG;ERC Advanced Grant
30706;819642;ERC-2018-COG;ERC Consolidator Grant
30707;101033244;MSCA-IF-2020;Individual Fellowships
30708;838242;MSCA-IF-2018;Individual Fellowships
30709;726130;ERC-2016-COG;ERC Consolidator Grant
30710;742046;ERC-2016-ADG;ERC Advanced Grant
